Taxa	PT015	PT002	s58.Healthy.greaterthan5.Feces.Baseline	CN031	PH043	CN004	PH042	PH048	s.331.Healthylessthan5.Stool.1.2556	CN023	PT003	s.278.Healthylessthan5.Stool.visit1.2298	s064.Healthy_greaterthan5.Feces.Baseline	s.86.Healthy_greaterthan5.Feces.Baseline	PH029	s048.Healthy_lessthan5.Feces.Baseline	PH047	PH011	s.280.Healthylessthan5.Stool.visit1.2273	PH005	PH049	CN002	s.298.Healthylessthan5.Stool.1.2374	PT004	s066.Healthy_lessthan5.Feces.Baseline	s.91.Healthy.greaterthan5.Feces.Baseline	s.274.Healthylessthan5.Feces.Baseline	s.88.Healthy_greaterthan5.Feces.Baseline	PH045	PT012	PT018	PH025	CL007	PH024	s.87.Healthy_greaterthan5.Feces.Baseline	PT005	s60.Healthy.greaterthan5.Feces.Baseline	s.257.Healthylessthan5.Stool.1.1953	CN011	s083.Healthy_lessthan5.Feces.Baseline	s.109.Healthy.greaterthan5.Stool.1.910	PH021	CN013	PH008	CL009	PT013	PT014	PH002	PT019	s.294.HealthyLess.Than5.Stool.1.2296	CN029	PH028	s115.Healthy_greaterthan5.Feces.Baseline	PH022	CL002	CL005	PH020	CN022	PH019	PT006	s22.Healthy.Feces.Visit1	s69.Healthy_greaterthan5.Feces.Baseline	PH050	s.260.Healthylessthan5.Feces.Baseline	CN027	s.276.Healthylessthan5.Stool.visit1.2112	CN005	CN030	s.356.Healthy.lessthan5.Stool.1.2764	PT017	PH012	s95.Healthy.lessthan5.Feces.Baseline	CL010	s26.Healthy.Feces.Visit1	PH023	s.158.Healthy_lessthan5.Feces.Baseline	s30	PT009	PH017	s45.Healthy_lessthan5.Feces.Baseline	PH031	PT007	PT010	CL006	s.85.Healthy_greaterthan5.Feces.Baseline	PH018	s.290.Healthylessthan5.Stool.visit1.2284	CL003	s.84.Healthy_greaterthan5.Feces.Baseline	PH016	PH051	PH007	CN017	CL008	s.208.Healthy_lessthan5.Feces.Baseline	s.79.Healthy_greaterthan5.Feces.Baseline	CN026	PH027	PH038	PH041	s50.Healthy_lessthan5.Feces.Baseline	s47.Healthy_lessthan5.Feces.Baseline	PH040	s.75.Healthy_greaterthan5.Feces.Baseline	PH010	s128.Healthy_lessthan5.Feces.Baseline	s049.Healthy_greaterthan5.Feces.Baseline	PH035	s125.Healthy_lessthan5.Feces.Baseline	s.89.Healthygreaterthan5.Feces.Baseline	s.153.Healthy_lessthan5.Feces.Baseline	PH054	s46.Healthy.greaterthan5.Feces.Baseline	CN019	s70.Healthy_greaterthan5.Feces.Baseline	s.149.Healthy_lessthan5.Feces.Baseline	PH046	PH052	PT001	s.283.HealthyLess.Than5.Stool.1.2299	s.303.Healthylessthan5.Stool.1.2291	s.353.Healthygreaterthan5.Stool.1.2756	CN007	PH013	CN024	s68.Healthy_greaterthan5.Feces.Baseline	CN020	PH034	CL004	CN006	PH039	s.100.Healthygreaterthan5.Stool.visit1.798	PH037	s.74.Healthy_greaterthan5.Feces.Baseline	CN021	PH036	PH026	PT011	s6.Healthy.Feces.Visit1	CL001
k__Bacteria	27198	6004	13526	7184	11063	25015	91697	13152	7890	12672	11052	2672	8413	11708	14302	9418	8975	116	5747	7689	8899	9494	8411	13279	10954	4576	14449	7593	8119	3396	20038	5580	9774	9763	7951	6992	5261	3944	7077	514	5166	4911	3116	8738	12883	8019	14890	2632	15310	6031	6066	8459	9157	7964	6867	20173	3615	5046	3765	6637	3257	2301	12834	6153	4216	5652	17033	8614	11528	52815	34355	4451	14095	7986	10430	7784	5826	27015	6914	4981	4755	16107	6931	10050	10505	62280	4182	3243	9787	3577	2164	144	10651	17066	6831	6517	12013	6194	5392	5440	3771	3888	5351	3842	9677	5385	18125	19461	32533	10167	8457	17156	10679	9348	2474	5497	10232	32	3767	4277	4101	9581	2879	3732	11686	5636	8922	7045	12570	15480	5528	6964	16221	10496	21577	57152	10740	7499	5365	9174
p__Acidobacteria	0	0	8	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	5	0	0	1	5	1	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0
p__Acidobacteria f__Acidobacteriaceae	0	1	12	0	0	0	1	11	31	0	5	0	10	54	0	7	5	0	3	1	0	4	19	6	92	6	104	9	24	0	53	0	2	2	15	11	36	2	0	0	13	0	0	0	82	0	1	0	52	4	0	9	18	28	24	0	4	6	0	3	10	3	54	3	0	24	0	0	0	0	1	12	9	33	7	51	11	1	0	7	15	1	0	0	19	0	5	0	51	0	0	0	0	6	11	5	0	0	0	11	9	3	2	6	1	2	11	0	0	12	0	21	13	3	0	14	19	0	2	2	15	8	0	8	0	3	0	0	0	0	0	8	13	6	0	0	0	0	15	0
p__Acidobacteria g__ s__Acidobacteriaceae bacterium SBC82	0	0	10	2	0	11	2	7	9	0	15	0	7	16	16	1	22	0	9	24	0	12	1	7	15	1	10	3	2	73	8	0	14	16	8	16	5	1	1	0	1	0	0	0	7	360	4	0	11	233	4	4	13	14	10	1	3	0	5	0	4	8	14	13	1	6	0	0	1	5	0	0	117	14	1	4	27	2	19	17	0	55	0	3	16	1	6	2	20	1	0	0	9	4	9	3	0	1	12	17	2	0	0	9	7	3	11	3	0	5	6	14	4	9	3	19	42	0	0	9	4	2	0	0	1	5	0	0	0	1	3	17	32	6	3	1	0	0	0	390
p__Acidobacteria g__Acidobacterium s__capsulatum	0	9	169	2	0	7	7	29	10	127	24	0	13	30	179	24	29	0	27	12	0	11	13	7	4	2	8	8	7	0	5	0	4	26	12	14	37	3	1	0	5	1	9	0	5	0	0	0	44	3	4	18	14	14	21	3	6	1	1	2	5	2	48	12	0	7	1	0	1	2	1	7	11	24	30	4	3	6	0	5	6	153	4	11	4	19	5	9	24	0	1	0	151	3	1	9	1	3	4	8	2	1	5	10	5	7	56	159	0	7	44	36	13	1	1	4	12	0	4	3	1	14	0	1	38	15	1	0	0	1	0	12	23	29	3	0	0	0	4	0
p__Acidobacteria g__Candidatus Koribacter s__versatilis	0	14	24	2	0	0	3	24	38	100	25	0	27	30	2	15	13	0	6	25	0	15	17	40	6	7	21	16	15	0	36	0	4	6	46	80	16	11	1	0	2	17	0	0	51	1	0	0	57	2	17	30	49	38	35	1	5	9	26	2	3	4	38	30	5	17	25	0	23	37	0	22	12	37	85	13	8	3	1	11	7	33	8	21	28	5	9	14	38	3	14	0	212	17	8	6	12	4	88	12	15	10	0	6	36	5	40	1	0	12	56	19	13	3	1	10	1	0	0	1	0	81	0	8	18	28	0	0	3	0	18	20	18	26	3	0	0	0	8	0
p__Acidobacteria g__Candidatus Solibacter s__usitatus	1	12	60	11	0	45	5	61	31	126	13	0	32	65	2	32	55	0	19	26	0	26	54	14	16	13	62	37	16	1	18	0	12	51	34	16	6	17	3	2	18	2	0	0	56	0	1	2	39	3	16	52	19	23	33	6	18	3	4	0	8	5	48	19	5	27	14	0	4	5	4	24	43	60	39	24	5	7	0	19	9	68	1	8	77	1	3	8	102	1	5	0	211	3	19	22	12	3	5	12	2	10	2	18	17	11	114	11	0	14	92	44	27	4	5	30	15	0	2	0	11	55	1	8	15	44	1	0	0	6	9	34	20	34	1	0	0	0	29	0
p__Acidobacteria g__Chloracidobacterium s__thermophilum	0	13	13	19	3	3	1	10	7	14	28	0	7	14	2	3	9	0	10	10	0	0	16	2	153	0	49	12	13	0	75	1	21	152	38	6	1	2	0	1	1	1	0	0	9	0	0	0	103	15	1	14	4	3	2	0	1	3	32	2	6	3	9	95	0	16	4	0	14	2	1	7	5	20	25	8	6	1	0	6	1	49	2	2	17	1	1	0	37	0	0	0	3	1	1	6	1	5	0	3	6	11	0	7	6	2	24	3	0	2	33	13	7	2	4	11	12	0	0	7	24	33	0	3	6	6	0	0	0	0	1	11	3	53	2	0	0	0	91	1
p__Acidobacteria g__Granulicella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Acidobacteria g__Granulicella s__mallensis	0	4	4	11	0	4	2	20	24	5	15	0	22	15	0	11	30	0	4	17	0	8	9	12	9	6	25	34	6	0	13	0	2	22	10	13	9	2	2	1	5	4	0	0	5	1	0	2	25	3	1	22	5	27	17	0	3	2	6	5	9	2	9	4	2	16	1	0	57	4	2	10	34	14	83	8	7	2	0	22	3	52	0	5	17	0	12	9	24	0	4	0	1	4	5	8	9	2	0	20	2	4	0	13	15	2	23	0	0	4	28	33	13	5	4	7	10	0	7	4	9	15	0	7	3	21	0	0	0	0	1	26	22	27	0	0	0	0	13	0
p__Acidobacteria g__Granulicella s__tundricola	1	6	74	27	0	0	2	39	43	5	23	7	57	20	4	35	38	0	21	20	0	7	17	2	8	1	42	5	16	0	78	0	34	87	66	5	3	3	1	0	48	2	0	2	6	0	0	0	91	13	2	57	9	29	17	2	3	1	8	5	2	8	30	93	28	6	7	0	29	0	1	7	2	51	4	6	21	0	0	13	21	43	96	68	41	1	6	10	34	0	0	0	0	8	8	9	1	68	7	8	6	18	63	3	65	10	41	4	0	6	9	17	35	0	2	4	12	0	4	14	11	52	0	5	13	21	0	0	0	0	0	8	43	52	4	0	0	0	101	1
p__Acidobacteria g__Luteitalea s__pratensis	2	0	45	22	2	0	4	66	47	7	81	14	43	73	0	88	43	0	41	8	0	31	98	20	107	60	126	75	17	1	67	0	19	35	32	16	13	16	0	78	10	3	0	2	84	167	0	0	47	121	2	42	42	48	46	0	11	4	8	1	7	2	111	69	2	57	3	0	15	1	1	29	91	59	37	49	18	1	0	22	11	27	4	2	121	18	31	9	122	0	3	0	5	4	113	34	13	0	0	16	11	15	2	10	35	4	112	15	0	12	35	44	36	7	1	61	34	0	3	6	15	116	0	30	1	52	0	0	1	0	1	40	18	63	4	0	0	0	31	167
p__Acidobacteria g__Terriglobus	0	0	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	3	0	1	0	0	0	0	0	0
